POL;Polska;38000000
ESP;Hiszpania;47000000
ITA;Włochy;60000000
TUR;Turcja;83000000
IND;Indie;1353000000
RUS;Rosja;144000000
USA;Stany Zjednoczone;328000000
THA;Tailandia;67000000
JPN;Japonia;125000000
ARG;Argentyna;44000000
